Customer Reference ID,Item Purchased,Purchase Amount (USD),Date Purchase,Review Rating,Payment Method
4063,Hoodie,173.0,2023-06-23,2.1,Credit Card
3996,Belt,60.0,2023-03-04,2.3,Credit Card
4030,Camisole,,2022-10-25,,Credit Card
3989,Overalls,148.0,2023-05-19,4.1,Credit Card
3991,Blazer,145.0,2023-05-03,4.5,Credit Card
3959,Coat,163.0,2023-05-09,3.5,Credit Card
3975,Camisole,14.0,2023-02-07,3.5,Cash
4122,Socks,,2022-12-10,,Credit Card
3961,Boots,88.0,2022-10-07,1.2,Cash
3993,Belt,71.0,2023-05-18,4.4,Credit Card
4081,Hat,30.0,2023-09-01,1.2,Credit Card
4068,Loafers,,2023-04-13,1.2,Credit Card
3991,Boots,27.0,2023-09-16,2.0,Credit Card
3978,Blazer,146.0,2023-01-15,3.7,Credit Card
3992,Cardigan,42.0,2022-12-14,2.4,Credit Card
4121,Sunglasses,150.0,2023-06-03,3.4,Credit Card
4063,Bowtie,,2022-11-05,1.3,Credit Card
4073,Handbag,165.0,2023-09-28,3.0,Credit Card
4111,Socks,64.0,2023-01-15,2.3,Credit Card
4065,Sneakers,196.0,2023-03-24,4.3,Credit Card
4116,Onesie,192.0,2023-01-16,3.6,Credit Card
4003,Hoodie,181.0,2023-07-09,1.6,Credit Card
4073,Swimsuit,122.0,2023-04-25,4.2,Credit Card
4087,Vest,125.0,2023-06-02,2.6,Credit Card
4065,Pajamas,,2023-05-03,2.9,Credit Card
4098,Coat,96.0,2023-09-21,3.5,Credit Card
4072,Onesie,,2022-12-11,1.2,Cash
4055,Bowtie,160.0,2023-04-03,4.6,Cash
4047,Belt,28.0,2023-08-07,,Cash
4014,Trench Coat,25.0,2022-12-05,4.2,Cash
4004,Flip-Flops,18.0,2023-01-21,4.1,Credit Card
4065,Poncho,28.0,2023-06-29,3.3,Credit Card
4111,Belt,81.0,2023-05-10,1.9,Credit Card
3958,Tunic,64.0,2023-06-17,1.1,Cash
4104,Pants,195.0,2023-06-02,2.5,Cash
4084,Onesie,156.0,2023-08-08,1.3,Credit Card
4017,Jeans,72.0,2022-10-28,,Credit Card
4085,Tunic,114.0,2023-04-28,1.9,Credit Card
4025,Pajamas,,2023-09-10,3.3,Cash
4062,Belt,,2023-09-22,2.7,Credit Card
4096,Hoodie,118.0,2022-10-17,4.4,Cash
4104,Tunic,196.0,2023-02-13,1.2,Cash
4050,Blazer,,2023-06-23,3.1,Credit Card
3965,Loafers,175.0,2023-06-26,2.1,Cash
3966,Polo Shirt,,2023-04-21,2.2,Credit Card
4102,Pants,96.0,2023-07-31,2.0,Credit Card
4080,Sun Hat,37.0,2023-09-14,2.4,Cash
4051,Camisole,58.0,2023-01-29,4.0,Cash
3985,Hat,45.0,2022-12-31,2.0,Credit Card
4105,Sandals,81.0,2022-10-31,4.5,Credit Card
4080,Pajamas,29.0,2023-09-22,2.4,Credit Card
3977,Overalls,150.0,2023-03-22,4.7,Cash
3993,Blazer,,2023-04-09,3.4,Cash
4091,Overalls,148.0,2023-01-30,2.7,Cash
4028,Cardigan,33.0,2023-02-11,4.3,Credit Card
4076,Pajamas,70.0,2022-10-05,3.2,Credit Card
4089,Sun Hat,,2023-03-28,2.6,Cash
3977,Loafers,64.0,2022-10-15,1.6,Cash
4090,Onesie,25.0,2023-09-18,2.1,Cash
4113,Jacket,,2023-06-27,1.3,Cash
3979,Trousers,,2023-08-07,4.9,Credit Card
4019,Blouse,126.0,2022-12-15,3.5,Credit Card
4077,Romper,188.0,2023-06-01,4.6,Credit Card
4118,Onesie,152.0,2023-01-12,1.1,Credit Card
3976,Socks,134.0,2023-07-24,2.1,Credit Card
4119,Pants,,2023-05-04,4.7,Cash
4095,Socks,24.0,2022-11-13,1.5,Cash
4105,T-shirt,148.0,2023-03-18,,Credit Card
4036,T-shirt,,2023-08-03,3.8,Credit Card
4113,Trench Coat,22.0,2023-05-20,1.5,Cash
3970,Camisole,138.0,2023-05-09,4.7,Cash
4044,Camisole,145.0,2023-02-10,2.4,Cash
4093,Swimsuit,,2022-10-06,3.2,Cash
3959,Kimono,30.0,2023-03-11,1.5,Cash
4077,Vest,27.0,2023-01-08,4.6,Credit Card
4073,Tie,182.0,2023-09-16,3.5,Cash
4088,Vest,113.0,2023-09-02,1.2,Credit Card
4077,Poncho,,2023-03-15,2.4,Credit Card
4103,Swimsuit,73.0,2023-04-30,2.6,Cash
4041,Pajamas,20.0,2023-05-20,4.3,Cash
4064,Kimono,117.0,2022-10-31,2.9,Cash
4047,Blazer,154.0,2023-06-01,1.7,Cash
4032,Backpack,76.0,2023-06-15,4.7,Cash
4031,Slippers,193.0,2023-08-02,1.3,Credit Card
3999,Jacket,77.0,2023-05-27,3.4,Credit Card
3966,Tie,181.0,2023-06-14,3.6,Credit Card
4109,Dress,127.0,2023-09-30,2.8,Cash
4034,Shorts,28.0,2023-03-24,3.4,Cash
4101,Pajamas,,2023-03-27,1.4,Cash
4023,Sunglasses,154.0,2023-02-09,2.4,Credit Card
3972,Coat,28.0,2022-12-22,4.6,Credit Card
4118,Socks,139.0,2023-05-13,4.4,Credit Card
4078,Tunic,99.0,2022-11-10,2.3,Cash
4105,Belt,72.0,2023-07-29,1.7,Credit Card
4000,Sandals,50.0,2023-09-27,4.3,Cash
4103,Jumpsuit,149.0,2022-10-16,5.0,Cash
3970,Tunic,166.0,2023-02-02,3.1,Credit Card
4031,Camisole,177.0,2023-06-28,3.5,Cash
4116,Raincoat,180.0,2023-02-11,,Cash
3963,Trench Coat,86.0,2022-12-16,1.5,Cash
4030,Romper,36.0,2023-01-02,2.8,Credit Card
4081,Kimono,44.0,2023-06-03,2.2,Credit Card
3978,Handbag,37.0,2023-01-17,5.0,Cash
3989,Tank Top,49.0,2023-04-26,4.7,Credit Card
4086,Swimsuit,164.0,2022-12-07,1.6,Cash
3976,Tank Top,97.0,2023-05-23,4.4,Cash
4028,Sweater,172.0,2023-01-15,1.1,Credit Card
4021,Backpack,139.0,2023-01-02,4.8,Cash
3990,Pajamas,23.0,2022-11-01,4.2,Credit Card
4114,Belt,,2023-09-28,,Cash
4028,Poncho,80.0,2022-12-31,1.1,Cash
4027,Boots,,2022-12-30,4.8,Credit Card
4022,Boots,43.0,2023-08-27,3.9,Cash
3960,Onesie,77.0,2022-12-16,4.3,Cash
3985,Dress,,2023-06-05,1.4,Credit Card
4111,Swimsuit,190.0,2022-11-23,4.4,Credit Card
4001,Handbag,12.0,2022-11-25,2.7,Cash
4108,Romper,,2022-11-09,4.5,Credit Card
3995,Umbrella,186.0,2023-05-27,3.9,Cash
4071,Jeans,149.0,2023-04-09,2.4,Cash
4051,Tank Top,,2023-08-31,,Credit Card
4001,Wallet,151.0,2023-06-09,3.9,Cash
4023,Backpack,,2023-05-08,3.0,Credit Card
4017,Pants,,2023-08-08,3.5,Cash
4081,Sandals,20.0,2022-12-02,4.1,Cash
4003,Loafers,63.0,2023-06-10,2.3,Credit Card
4092,Overalls,180.0,2022-11-25,2.7,Cash
3965,Umbrella,,2023-05-06,4.2,Cash
4044,Pants,114.0,2022-12-25,4.4,Credit Card
3978,Sandals,49.0,2022-10-31,4.5,Cash
3994,Boots,70.0,2023-03-01,,Cash
4109,Loafers,55.0,2022-12-21,1.0,Credit Card
3996,Slippers,16.0,2023-08-13,2.5,Credit Card
4083,Wallet,,2023-07-07,3.7,Credit Card
4062,Coat,115.0,2023-04-10,1.6,Credit Card
4055,T-shirt,198.0,2022-11-29,3.9,Credit Card
4017,Shorts,78.0,2023-02-26,1.8,Credit Card
4069,Jumpsuit,,2023-02-16,4.8,Cash
4120,Hoodie,107.0,2023-07-11,4.0,Cash
3999,Backpack,130.0,2023-04-26,,Cash
4010,Romper,127.0,2023-07-24,,Credit Card
4104,Pajamas,68.0,2023-07-12,1.8,Cash
4045,Vest,178.0,2023-01-29,2.7,Credit Card
3970,Romper,,2022-10-18,2.5,Cash
4121,Slippers,27.0,2023-04-11,3.6,Credit Card
4024,Hoodie,81.0,2022-12-30,3.6,Credit Card
3986,Flannel Shirt,140.0,2022-11-24,2.2,Cash
3970,Socks,147.0,2023-05-07,2.2,Credit Card
3999,Belt,17.0,2023-07-25,4.2,Credit Card
4075,Coat,,2022-10-06,2.4,Cash
4059,Belt,55.0,2023-01-16,1.4,Cash
4078,Sandals,77.0,2023-07-28,4.5,Cash
4034,Tank Top,,2023-01-01,2.1,Cash
4078,Blazer,98.0,2023-01-05,2.3,Credit Card
4093,Trench Coat,90.0,2022-10-17,1.5,Cash
4016,Polo Shirt,140.0,2023-01-02,2.3,Cash
4054,Wallet,,2023-05-01,3.8,Cash
4056,Pajamas,58.0,2023-07-20,4.1,Cash
4078,Slippers,191.0,2023-07-10,4.2,Credit Card
4024,Blazer,143.0,2022-10-09,2.6,Credit Card
3994,Camisole,147.0,2022-11-19,2.2,Cash
4092,Tie,199.0,2023-02-15,4.6,Cash
4068,Tunic,60.0,2023-01-04,1.2,Cash
3960,Camisole,27.0,2023-09-14,2.0,Credit Card
4030,Hoodie,94.0,2023-04-23,2.6,Credit Card
4071,Skirt,179.0,2023-02-16,2.6,Credit Card
4054,Handbag,194.0,2023-06-12,2.1,Credit Card
4037,Sunglasses,139.0,2022-11-10,2.4,Cash
4092,Jumpsuit,114.0,2022-11-02,2.2,Credit Card
3967,Raincoat,188.0,2023-05-06,3.3,Cash
3981,Pants,42.0,2023-07-08,1.8,Credit Card
4093,Sneakers,,2022-10-14,4.8,Cash
4120,Poncho,107.0,2022-11-07,2.3,Cash
4047,Scarf,54.0,2023-05-20,1.1,Credit Card
4067,Poncho,87.0,2023-05-27,4.2,Credit Card
4113,Vest,10.0,2022-10-11,,Credit Card
4026,Tank Top,63.0,2023-01-20,4.6,Cash
4042,Blazer,158.0,2022-11-12,3.2,Cash
4026,T-shirt,92.0,2023-04-24,3.1,Credit Card
4025,Coat,123.0,2023-01-09,1.8,Cash
3982,Kimono,140.0,2023-05-18,3.1,Credit Card
4022,T-shirt,198.0,2022-10-22,1.9,Cash
4106,Skirt,,2023-03-26,4.6,Cash
4057,Jacket,,2023-09-17,1.9,Cash
4075,Jumpsuit,172.0,2022-10-07,4.8,Credit Card
4018,Tank Top,33.0,2022-10-18,,Credit Card
4107,Tie,70.0,2023-02-28,,Cash
4006,Flannel Shirt,67.0,2023-07-27,1.4,Cash
4090,Tie,47.0,2023-01-11,2.9,Cash
4043,Backpack,,2023-01-16,2.2,Cash
4003,Cardigan,131.0,2023-01-04,4.1,Credit Card
4037,Camisole,28.0,2023-05-01,2.1,Cash
4097,Belt,171.0,2023-05-24,4.1,Cash
3959,Coat,193.0,2023-01-03,1.5,Credit Card
3959,Hat,136.0,2023-02-08,2.1,Credit Card
3974,Swimsuit,47.0,2023-02-22,,Credit Card
3960,Hat,11.0,2023-04-12,,Credit Card
4062,Romper,37.0,2023-07-24,4.0,Cash
3982,Blouse,66.0,2023-01-24,1.1,Cash
4091,Socks,,2022-11-28,3.4,Credit Card
3983,Kimono,142.0,2023-05-15,3.9,Credit Card
4071,Hat,152.0,2022-12-22,1.8,Credit Card
4046,Trench Coat,41.0,2023-07-17,2.2,Credit Card
4013,Shorts,128.0,2023-02-21,3.0,Cash
4029,Bowtie,153.0,2023-05-17,,Credit Card
4021,Sunglasses,123.0,2023-05-11,1.8,Cash
4006,Scarf,194.0,2023-02-02,3.6,Cash
3965,Hat,119.0,2023-07-13,2.2,Cash
3963,Socks,150.0,2022-10-04,,Credit Card
4115,Sweater,50.0,2023-07-05,3.2,Cash
3980,Poncho,131.0,2023-01-23,4.6,Credit Card
3971,Hat,73.0,2023-07-17,2.0,Credit Card
4109,Tunic,80.0,2022-10-18,,Credit Card
4012,Socks,143.0,2023-04-23,2.6,Cash
4110,Sandals,71.0,2023-03-17,3.2,Cash
4120,Tie,29.0,2023-02-12,1.9,Credit Card
3988,Bowtie,70.0,2022-11-02,2.6,Credit Card
3987,Handbag,91.0,2022-12-21,2.5,Cash
3979,Flip-Flops,30.0,2023-03-30,3.6,Cash
4111,Skirt,,2023-08-13,4.2,Credit Card
3990,Handbag,187.0,2023-08-11,1.4,Credit Card
4053,Coat,,2023-07-10,4.5,Credit Card
4122,Hoodie,116.0,2023-03-17,2.0,Cash
4101,Cardigan,148.0,2022-11-26,3.5,Credit Card
4004,Hoodie,25.0,2023-09-24,3.9,Credit Card
3985,Pajamas,117.0,2023-08-07,1.9,Cash
4004,Shorts,159.0,2023-01-22,2.0,Cash
4021,Sneakers,15.0,2023-08-07,2.4,Credit Card
4032,Jacket,157.0,2023-01-25,2.3,Credit Card
4076,Trousers,11.0,2022-12-06,2.6,Credit Card
3976,Jeans,86.0,2023-05-26,,Cash
4120,Slippers,117.0,2023-09-25,4.0,Credit Card
4073,Boots,198.0,2022-12-21,3.2,Cash
4027,Onesie,164.0,2023-06-11,3.6,Cash
4066,Kimono,134.0,2023-01-02,3.8,Credit Card
4039,Umbrella,121.0,2023-07-05,4.4,Cash
4022,Tunic,109.0,2022-11-15,1.3,Credit Card
3998,Skirt,183.0,2022-12-22,3.8,Credit Card
3975,T-shirt,195.0,2023-07-22,4.0,Cash
4027,Sweater,,2022-12-01,4.0,Credit Card
3972,Sneakers,42.0,2023-04-18,2.8,Credit Card
4054,Tunic,146.0,2023-01-23,1.2,Credit Card
4056,T-shirt,,2023-03-29,1.7,Cash
4042,Wallet,154.0,2023-08-31,2.9,Credit Card
3972,Slippers,31.0,2022-10-26,3.2,Credit Card
4023,Dress,44.0,2023-03-03,2.2,Cash
4024,Skirt,56.0,2023-07-17,2.2,Credit Card
4002,Scarf,,2023-05-09,3.7,Credit Card
4069,Flannel Shirt,64.0,2022-11-01,3.5,Cash
3974,T-shirt,96.0,2022-12-05,3.6,Credit Card
4082,Pajamas,107.0,2023-05-10,3.1,Cash
4008,Loafers,117.0,2023-05-04,3.5,Credit Card
4113,Flannel Shirt,30.0,2023-05-21,3.1,Credit Card
4057,Tunic,148.0,2023-04-22,2.9,Cash
4002,Sneakers,,2023-08-28,4.7,Credit Card
4122,Kimono,67.0,2023-03-20,4.4,Cash
4082,Onesie,176.0,2022-12-28,3.1,Credit Card
3984,Tunic,,2023-05-22,1.0,Credit Card
3993,Trousers,,2022-12-26,1.6,Credit Card
4095,Loafers,15.0,2023-07-12,,Credit Card
4067,Belt,71.0,2023-08-27,2.2,Credit Card
4012,Trousers,,2023-03-06,3.8,Cash
4114,Swimsuit,154.0,2023-04-02,2.3,Credit Card
4121,Umbrella,129.0,2023-01-15,,Cash
3984,Trousers,104.0,2023-07-30,1.6,Cash
4070,Leggings,,2023-06-09,3.2,Credit Card
4023,Boots,193.0,2023-02-14,3.5,Credit Card
3983,Swimsuit,,2023-08-17,2.1,Cash
3965,Wallet,89.0,2023-08-18,4.5,Cash
3975,Vest,,2023-07-29,2.2,Credit Card
3975,Pajamas,,2023-04-11,2.6,Cash
4103,Flip-Flops,183.0,2022-10-13,3.2,Cash
4021,Sweater,106.0,2023-05-21,1.3,Cash
4071,Raincoat,193.0,2022-10-02,3.9,Credit Card
3961,Trousers,,2023-06-17,2.1,Credit Card
4084,Skirt,170.0,2023-07-08,4.2,Cash
3995,T-shirt,188.0,2023-05-12,4.1,Cash
4120,Overalls,185.0,2023-03-05,4.1,Credit Card
3957,Tank Top,40.0,2022-10-03,2.1,Cash
3966,Vest,154.0,2023-05-04,4.5,Cash
4056,Camisole,98.0,2023-06-12,2.9,Credit Card
4025,Blouse,179.0,2023-04-06,4.1,Cash
3995,Jeans,139.0,2023-05-01,1.4,Cash
4041,Loafers,13.0,2022-10-13,1.6,Cash
4057,Shorts,135.0,2022-12-27,4.5,Credit Card
4104,Flannel Shirt,,2022-10-24,4.6,Cash
3957,Sneakers,172.0,2023-07-08,,Credit Card
4088,Tank Top,127.0,2022-10-07,2.8,Credit Card
4082,Tunic,121.0,2023-09-07,2.3,Cash
4079,Boots,,2022-11-23,1.5,Credit Card
4068,Swimsuit,176.0,2023-07-18,2.5,Cash
4060,Bowtie,147.0,2022-12-28,2.9,Credit Card
3974,Flip-Flops,129.0,2023-08-02,3.1,Credit Card
4095,Umbrella,197.0,2022-10-25,4.5,Credit Card
4014,Wallet,92.0,2022-12-25,4.8,Credit Card
3957,Onesie,32.0,2023-01-05,4.3,Cash
4055,Trench Coat,125.0,2022-11-10,4.4,Cash
4080,Tie,128.0,2023-04-10,3.0,Credit Card
3988,Wallet,181.0,2023-03-04,3.7,Credit Card
4102,Socks,17.0,2023-01-31,2.7,Cash
4094,T-shirt,93.0,2023-08-15,1.1,Cash
4048,Handbag,,2022-10-18,2.9,Credit Card
4042,Leggings,76.0,2023-02-22,3.9,Credit Card
4034,Jeans,162.0,2023-02-11,3.2,Credit Card
4059,Handbag,80.0,2023-07-06,4.8,Cash
3971,Swimsuit,142.0,2023-07-22,1.7,Cash
4118,Dress,31.0,2022-10-19,1.0,Credit Card
4122,Poncho,114.0,2023-07-28,3.1,Cash
3980,Leggings,71.0,2023-01-25,,Cash
4050,Umbrella,175.0,2022-12-29,1.4,Cash
4093,Bowtie,124.0,2022-12-21,2.0,Credit Card
4044,Gloves,33.0,2023-03-29,3.4,Cash
3977,Loafers,113.0,2023-01-08,,Credit Card
4074,Kimono,88.0,2023-02-05,2.9,Cash
4031,Vest,104.0,2023-01-15,,Credit Card
4122,Poncho,145.0,2022-12-29,2.0,Cash
4008,Flip-Flops,200.0,2022-10-05,4.9,Cash
4002,Hoodie,100.0,2022-12-26,4.5,Cash
4098,Raincoat,79.0,2023-02-04,5.0,Credit Card
3967,Belt,69.0,2023-04-03,3.0,Cash
4055,Onesie,,2022-11-05,4.5,Cash
4005,Wallet,,2022-10-22,4.2,Credit Card
4033,Tank Top,,2022-12-19,,Credit Card
4056,Skirt,186.0,2023-04-11,,Cash
3984,Camisole,,2023-08-31,1.6,Cash
4118,Pajamas,133.0,2023-03-20,4.5,Credit Card
4048,Cardigan,160.0,2023-03-27,2.7,Cash
4081,Loafers,144.0,2022-11-01,1.2,Credit Card
3978,Socks,35.0,2022-11-29,1.2,Cash
4118,Romper,85.0,2023-08-14,,Credit Card
4069,Pants,55.0,2023-01-25,4.9,Cash
4005,Flannel Shirt,191.0,2023-03-23,3.5,Cash
3992,Sunglasses,80.0,2023-02-24,,Cash
3966,Romper,,2023-03-19,4.4,Credit Card
4006,Trench Coat,,2023-09-16,3.8,Credit Card
3963,Dress,42.0,2022-10-19,3.3,Cash
4108,Blouse,135.0,2023-01-25,3.1,Cash
4018,Kimono,,2023-04-27,2.6,Credit Card
4082,Hoodie,,2023-07-26,3.7,Cash
4056,Blazer,132.0,2023-06-17,,Cash
3973,Umbrella,57.0,2023-07-12,3.0,Cash
4095,Sun Hat,74.0,2023-07-15,1.3,Credit Card
4121,Overalls,132.0,2023-02-24,2.1,Cash
4035,Coat,,2023-09-22,3.0,Cash
4084,Bowtie,,2023-01-16,4.0,Cash
4093,Shorts,157.0,2023-08-17,1.0,Cash
4072,Onesie,23.0,2023-01-09,2.4,Cash
3961,Wallet,,2023-02-04,3.3,Credit Card
3966,Polo Shirt,87.0,2023-01-08,3.3,Cash
4043,Boots,,2022-12-24,1.5,Cash
3971,Boots,152.0,2023-03-01,,Credit Card
4043,Scarf,165.0,2023-02-05,1.7,Credit Card
3967,Coat,168.0,2023-04-21,4.9,Credit Card
4060,Tunic,143.0,2022-12-24,4.2,Credit Card
3987,Wallet,123.0,2023-08-01,2.5,Credit Card
4011,Tank Top,160.0,2023-05-08,,Cash
4090,Hoodie,88.0,2022-12-08,2.0,Cash
4074,Skirt,25.0,2022-10-05,3.6,Credit Card
4094,Belt,199.0,2023-07-04,1.8,Credit Card
3995,Romper,,2022-10-15,1.5,Cash
4105,Jeans,170.0,2023-03-28,,Cash
4016,Coat,179.0,2023-07-17,1.7,Credit Card
3975,Leggings,,2023-07-04,2.3,Credit Card
3966,Pajamas,151.0,2023-08-28,1.8,Credit Card
3993,Jumpsuit,,2023-01-28,1.7,Credit Card
4082,Sneakers,,2022-12-03,3.8,Credit Card
3961,Gloves,162.0,2022-12-05,3.0,Credit Card
4077,Camisole,18.0,2023-02-16,2.4,Cash
4115,Sandals,190.0,2023-02-17,2.8,Cash
3968,Wallet,126.0,2022-11-17,4.3,Credit Card
4019,Onesie,,2022-12-23,,Credit Card
3990,Wallet,77.0,2023-07-25,2.5,Credit Card
3960,Shorts,170.0,2022-10-31,1.8,Cash
4001,Wallet,60.0,2023-05-17,2.4,Cash
4118,Blouse,149.0,2023-03-21,4.2,Cash
3969,Polo Shirt,48.0,2023-08-04,3.8,Cash
4035,Handbag,46.0,2023-04-21,4.3,Credit Card
3981,Camisole,,2023-03-11,1.4,Credit Card
4073,Kimono,,2023-08-11,2.0,Credit Card
4113,Hoodie,155.0,2023-08-05,1.1,Credit Card
4000,Tank Top,122.0,2023-08-12,3.6,Cash
4108,Trousers,,2022-12-09,1.6,Cash
3973,Gloves,189.0,2022-10-30,2.5,Credit Card
3984,Sunglasses,79.0,2022-12-01,3.4,Cash
3986,Jumpsuit,136.0,2022-12-14,,Cash
4084,Loafers,163.0,2023-02-03,3.5,Credit Card
4109,Jacket,,2023-06-13,1.0,Credit Card
4114,Backpack,92.0,2023-04-25,2.3,Credit Card
4013,Trousers,16.0,2023-01-11,1.4,Credit Card
3973,Pajamas,,2022-11-09,2.2,Credit Card
4008,Romper,157.0,2023-06-05,1.7,Credit Card
4066,Poncho,15.0,2023-05-25,,Cash
4043,Poncho,182.0,2023-03-09,2.8,Cash
4059,Camisole,157.0,2023-07-30,2.7,Cash
4040,Pajamas,,2023-04-10,4.3,Credit Card
3987,Backpack,130.0,2023-02-21,2.5,Credit Card
4104,Backpack,123.0,2022-12-22,3.7,Credit Card
4096,Sun Hat,56.0,2022-11-04,4.9,Cash
3992,Belt,121.0,2022-10-09,4.1,Credit Card
4039,Gloves,135.0,2023-04-16,3.0,Credit Card
4011,Gloves,130.0,2023-01-03,4.1,Cash
3968,Sandals,95.0,2023-08-02,2.6,Credit Card
4108,Shorts,36.0,2023-02-16,,Cash
